"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
"06",1,54.83086,111.71303,-0.21445159599489,-0.0814609443449013,-0.204473324600834,-0.0858864473584548,0.0102118405034177,-0.11024669139808,-0.242345062581413,-0.170315524764549,-0.0493815546208947,0.209955234794637,0.0788579749182705,-0.265369416127191,0.0529058849176192,-0.0487264342724121,-0.209355768054403,-0.179812504780354,-0.134028570206397,0.0876993456030627,0.0414978371812713,-0.234553649991234
"07",2,54.84142,111.68275,-0.106879973143191,-0.161983320421792,-0.113374182418402,-0.0676692297679446,0.0977807855953106,-0.174654760261316,-0.0903409662517483,-0.0594531240415978,-0.0786298941503447,0.240883141563571,0.0208787894316478,-0.25287666441974,0.0478960729586575,-0.0232530850446311,-0.290129305515797,-0.309668211568085,-0.300037476232886,0.378478945413245,-0.0220729221639879,-0.269585533549678
"08",3,54.92947,111.54272,0.0233935268548126,-0.0757768297283358,0.0125685715938408,0.0247135651462044,0.00206718257701489,-0.252835971035883,0.0612794633682766,0.073529293047375,0.0878801312789912,0.300177774313073,0.0100253298774414,-0.193785933129271,-0.0537776010956206,-0.15617643322909,0.0890417237546693,-0.330361079231748,-0.11388809905588,0.245495082318535,-0.137411547614703,-0.214012894621454
"09",4,54.83367,111.83833,0.0750510632300317,-0.129884738203092,-0.0641420280320273,-0.0805811388265967,0.0935650239134145,-0.3624707939265,0.168460158572469,-0.0359997299678415,0.0938232951437397,0.270023814713866,0.108489847479409,-0.171049866164777,-0.103294484412585,0.0197240838553254,0.0347618693947985,-0.311540788922701,-0.247533460962967,0.185159359975443,-0.187073185502494,-0.0654265397814603
"0A",5,55.03378,111.68131,0.0352998319025889,-0.0179314148469768,-0.234035392266909,0.0313790265819706,0.126381002535038,-0.00886273161125846,0.248909180108851,-0.176290075094402,0.169153861576279,0.234310806244051,0.0460606960514482,-0.0786909841882264,-0.133876407491395,0.000769120032440464,0.150076024273194,-0.218042885109381,-0.0712012009033495,0.0939875439497375,-0.0537539143043169,0.134881507096817
"0B",6,55.05169,111.27083,-0.0933639581914102,-0.159208635805241,-0.0914765947757187,0.0185786896905521,0.174617898529966,-0.0575790560404574,-0.0560621215580463,-0.193303238839741,0.0582635446416017,0.354369451328978,0.025137160861032,-0.2109620323828,0.112320609148436,0.0698092631783247,-0.288430813822728,-0.3746875540531,-0.163736162771371,0.332185870805827,-0.187203725006188,-0.0674447353229658
"0F",7,55.0674,111.81083,0.035196734210161,-0.0976046134763494,0.169211220236134,0.197993949420612,0.365681487960445,0.0484923644306338,0.0769880429088637,0.0170341375343019,0.0134608001145984,0.396825324339095,-0.0248583964081036,-0.178832584566758,0.00409074709369697,0.0981390263988408,-0.0988328972909915,-0.366135031966967,-0.0737962749470293,0.393405486072312,-0.13975389866807,-0.0678417503254434
"0G",8,55.55811,111.23728,-0.136583040930738,-0.103667430594354,-0.00497950718503313,0.0220064945368576,0.0176863794541082,-0.376957603038028,0.153467635889763,-0.0514294633887601,0.0312032024627736,0.296737976623798,-0.0419225639856716,-0.286841256867023,-0.255895730058552,-0.0652783440428736,-0.118487919127973,-0.454909619479247,-0.239105243842863,0.225258259317721,-0.160372641048355,-0.125795201171823
"0H",9,55.05505,111.90391,0.132453984465958,-0.0221270393656112,0.0141990061736777,0.168833382471761,0.210645724479893,-0.0989473665477359,0.161337147087891,-0.088319054174622,0.268019668351267,0.258079384008405,-0.020202838905963,-0.155557173062218,0.140436448224642,0.156137813865271,0.165558609256495,-0.135840457023685,-0.0117337518847458,0.298088627521705,-0.12353139918853,0.000817089013808676
"0Q",10,54.1042,115.74607,0.07925068500544,0.073737361897902,0.256865512185086,0.32337111932153,0.20962873772654,0.196613466188285,-0.0730084907086142,-0.00768996914124327,-0.0327168714166705,0.0418443024162179,-0.36092282993662,-0.085316913696372,0.26495449250733,0.111066011021912,-0.117578698276111,-0.0228006531887832,0.0924774718915557,0.0974782065707354,-0.170172643013261,0.045984081567501
"0R",11,56.57132,118.74682,0.233276474199162,0.0436663839910827,0.132193476644287,0.133101001722029,0.14193321288703,0.098912220837017,-0.0354896538111424,-0.0596856365809882,0.0271496155082492,0.089802592953002,-0.180041089177632,0.0903797926504265,-0.0530607651120866,-0.255791773863756,-0.114845075638169,0.0730116847194441,-0.0442538415230606,0.000797328610125398,-0.142785775545595,-0.046863607179934
