"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
"06",1,54.83086,111.71303,0.170305666146614,0.196244396912363,0.119256637903605,0.162012188383592,0.168964455781624,0.0881527306483977,0.013733985657796,0.186296622137284,-0.0156257069683889,-0.0473202132322918,-0.0385095574825763,0.408070928990725,0.0231811807591979,0.177015800201635,-0.039402515547077,0.125744135893961,-0.165800146106675,-0.132026153536971,0.00602094383604,0.38940505374202
"07",2,54.84142,111.68275,0.0785912014323303,0.183290770939767,0.0336961224300351,-0.125484952017708,0.129858648328325,-0.0256606743271949,0.0643018391783828,0.152944793709973,0.198001390964495,0.0399902324153157,-0.0940781052001745,0.342636978682755,0.106051400530711,0.00428452580952275,0.0586231045705319,0.252083829684029,0.115663307071137,-0.158835866250201,-0.018866222033641,0.495614948987418
"08",3,54.92947,111.54272,0.106671024073779,-0.0339773472638818,0.0318166571099507,-0.0276418797339935,0.231425518808901,-0.163065570448234,0.206711998535306,-0.23035061203121,0.16906393574319,0.0914477869739995,-0.132751845675423,0.268724980546459,0.0615575896607525,0.0488359677577639,-0.2132550496932,0.18407962548653,0.0267645476400615,0.0015890982062969,-0.0821737112304683,0.410990867593434
"09",4,54.83367,111.83833,-0.0258085382652039,0.0142843772515275,0.0551190556054937,-0.038386789027025,-0.0241570297938425,0.115798138504632,-0.0163783652832663,0.00889769372571558,0.0333222901748174,-0.0218059887085786,-0.180914205766028,0.261941329667476,0.240885199220966,-0.0205275667961411,-0.300450194120038,0.143129387644367,0.129699526820415,-0.238964067632463,-0.00679634106800555,0.41579897763619
"0A",5,55.03378,111.68131,0.0494553635050574,0.0148025676931156,0.305925403160288,-0.0889906238491475,0.119462344642734,0.0850313101896254,0.0196811989305425,0.0612216391700217,-0.0754524432814306,-0.0291322212536547,-0.149110811754926,0.252976347279689,0.104856512275958,0.0252996563182898,-0.0269756041083979,0.092563961742625,0.0672850645490976,-0.195293952128036,-0.146830999923878,0.224824857016005
"0B",6,55.05169,111.27083,0.111587104547337,0.234294440194521,0.0716925548609837,-0.107991497259561,0.136707146830697,0.103001790336505,-0.0329188081520615,0.287065622948015,0.0998315278883497,-0.153132389557846,-0.028885641713894,0.364744604496254,0.199778770547145,0.0252186136161687,-0.0377643069645462,0.304204426993798,0.0313956787636658,-0.249100408105114,0.061724007889893,0.453029833737417
"0F",7,55.0674,111.81083,-0.105242001782357,0.00788046212371865,-0.0673889048564545,-0.292460211340575,0.140747219579538,-0.0169329697532597,0.0845231405408855,0.143542473884071,0.316324207562259,-0.0920591887363892,0.0225083155100081,0.296680805198908,0.225311032513276,-0.112002585588142,-0.0252890342291165,0.312137695018291,0.313148355184795,-0.179344772486129,-0.127122585851316,0.386523655189961
"0G",8,55.55811,111.23728,0.0852512601101347,0.0375308695977905,-0.0717207890147384,-0.125534016474069,0.243582801769367,0.161805345144742,0.0547206884673692,0.0651187631978698,0.221325014351976,0.0304905344416049,-0.0843517695436481,0.252695825113388,0.198279067762222,-0.027110792358199,-0.190362100354307,0.363479029730753,0.140854173878817,-0.112548229973952,0.0185533402655903,0.338331957335222
"0H",9,55.05505,111.90391,0.0690353662212424,-0.0621176547922528,0.171490243119702,-0.0599473016572972,0.0369117791080802,-0.103893593085002,-0.0558655050352692,-0.00219398867787467,-0.102307209594031,0.0457624361811876,-0.110619915037591,0.318910406585791,0.102827252332489,-0.0951730858863899,-0.052611617240011,-0.0359872923502767,0.0372671080015582,-0.0678120941475836,-0.0365946060176118,0.345402246665718
"0Q",10,54.1042,115.74607,-0.0652737319502786,-0.0982783766594143,-0.209121179136947,-0.112255817250533,0.137005550700299,0.0547193006450566,0.081342047416803,0.0940068634502211,0.118440788684949,0.00495319954756105,0.363515027278029,0.0461912207649082,0.0576073797354797,0.117204071208304,0.124410417722866,0.148668978804069,0.0811732008630302,0.0365692480798265,0.0802525924975687,-0.00964840905053874
"0R",11,56.57132,118.74682,-0.248500959567172,-0.215128160121559,-0.218469817234756,-9.22286930861492e-05,0.242871433638644,-0.113121891110425,0.00208997467417252,-0.0401026938153668,-0.04573809064095,0.105670205528679,-0.27377196864204,-0.0721204935914012,0.288792868785015,-0.0383089482769793,-0.0468549671321154,-0.0608415357830664,0.0694648629678492,0.209382949162922,-0.337054277108504,-0.107744585810112
"0T",12,55.54449,118.74207,-0.0036525317697289,0.0241210197041428,-0.042573969551794,0.325182718216138,0.0683106392394044,0.0368684245261879,-0.0409513712421031,-0.210247700564098,-0.128434789410752,-0.028588629186358,0.208835274997301,-0.215466457476127,-0.0198425199158477,-0.156036506504451,0.0458755874107004,-0.0748912471207362,-0.0898032948209893,-0.0233025262620556,0.252269771378481,-0.205107113112604
"0U",13,56.4652,118.31264,-0.154131029239852,-0.375080099938036,-0.307202163146604,0.0752215834529418,0.274390769454497,0.019723826749995,-0.0588706724416078,-0.0527062252924939,-0.165061407419163,0.050535214631775,-0.0872740798875438,-0.235028820433032,0.263926442635635,-0.0224910927661304,0.0463093428693879,-0.0343573512886371,-0.322508431987121,0.21172903883738,-0.1283504340059,-0.136361332062992
"0V",14,55.5985,118.10932,-0.0841576817265384,-0.198338651010337,-0.223263185528457,0.283548994823824,0.0292110187090548,0.145756980092502,-0.055576902215814,-0.326693776106318,-0.0456732448237006,0.150933329562583,0.126161644338915,-0.273516605377178,0.0234801039758862,-0.135856812996872,0.0842357825874069,-0.148852638693,-0.145935902248481,0.0663239864157826,-0.0173721510316181,-0.262327157504263
"0X",15,54.32247,115.70438,-0.0355614924833298,-0.0972458542136444,-0.301961052546079,0.051987360238907,0.266376720682155,0.0292188992775745,0.00400067064008437,-0.0195707011825281,0.0561340358020063,-0.0869454021816613,0.13074788538976,-0.0784987344293112,0.0699738419351117,0.0988924534916173,-0.117281323065274,0.377456179633051,0.0501271110188279,0.0549652541501566,0.234831369112675,-0.017294523221044
"0Y",16,54.4762,116.78887,-0.0466040770369659,0.249227565957708,0.0444180651208672,-0.202858799704706,-0.0133950461716477,0.143057514446168,-0.0575688264054239,0.0987081378008015,0.144635474631187,0.0502946063347203,-0.110784420162341,0.331365856841986,-0.115060672755391,0.1861841767288,0.016509392848235,0.151383749063909,0.09030376931912,-0.119331835816366,-0.0612926583115843,0.384981174628818
"0Z",17,53.04467,115.01394,0.0192161122932642,0.120376920527116,-0.165939819319286,-0.0777586142939784,0.220512325018958,0.151042533557886,-0.0238445157627381,0.136142232166419,-0.19149025548276,-0.288593381976442,0.0724212392669387,-0.0086378192644429,0.15789199361395,-0.0548452540096787,0.14328003005832,0.210216723551129,-0.179162166206092,-0.323059336010367,0.14144498295929,0.0200104364650955
